,Object Number,Is Highlight,Is Public Domain,Object ID,Department,Title,Culture,Artist Display Name,Artist Display Bio,Artist Alpha Sort,Artist Nationality,Artist Begin Date,Artist End Date,Object Date,Object Begin Date,Object End Date,Medium,Dimensions,Credit Line,Geography Type,Country,Classification,Link Resource,Metadata Date,Repository
1761,63.22.2,False,False,1812,American Decorative Arts,Side Chair,American,Unknown,1741-1801,Unknown,American,1741,1801,1770–90,1770,1790,"Mahogany, red oak, sweet gum",38 1/2 x 22 1/4 x 22 in. (97.8 x 56.5 x 55.9 cm),"Gift of Charles A. Poindexter, 1963",Made in,United States,Furniture,http://www.metmuseum.org/art/collection/search/1812,5/14/2018 8:00:02 AM,"Metropolitan Museum of Art, New York, NY"
1762,"46.194.1a, b",False,True,1826,American Decorative Arts,Side Chair,American,Unknown,1711-1771,Unknown,American,1711,1771,1740–70,1740,1770,Painted maple,43 1/4 x 21 1/2 x 17 in. (109.9 x 54.6 x 43.2 cm),"Gift of Mrs. J. Insley Blair, 1946",Probably made in,United States,Furniture,http://www.metmuseum.org/art/collection/search/1826,5/14/2018 8:00:02 AM,"Metropolitan Museum of Art, New York, NY"
1763,"46.194.2a, b",False,True,1827,American Decorative Arts,Side Chair,American,Unknown,1703-1763,Unknown,American,1703,1763,ca. 1735–60,1732,1760,Maple,43 1/4 x 21 1/4 x 20 in. (109.9 x 54 x 50.8 cm),"Gift of Mrs. J. Insley Blair, 1946",Probably made in,United States,Furniture,http://www.metmuseum.org/art/collection/search/1827,5/14/2018 8:00:02 AM,"Metropolitan Museum of Art, New York, NY"
1764,"46.194.3a, b",False,True,1828,American Decorative Arts,Side Chair,American,Unknown,1703-1763,Unknown,American,1703,1763,ca. 1735–60,1732,1760,Maple,43 1/4 x 21 1/4 x 20 in. (109.9 x 54 x 50.8 cm),"Gift of Mrs. J. Insley Blair, 1946",Probably made in,United States,Furniture,http://www.metmuseum.org/art/collection/search/1828,5/14/2018 8:00:02 AM,"Metropolitan Museum of Art, New York, NY"
1765,"46.194.4a, b",False,True,1829,American Decorative Arts,Side Chair,American,Unknown,1703-1763,Unknown,American,1703,1763,ca. 1735–60,1732,1760,Maple,43 1/4 x 21 1/4 x 20 in. (109.9 x 54 x 50.8 cm),"Gift of Mrs. J. Insley Blair, 1946",Probably made in,United States,Furniture,http://www.metmuseum.org/art/collection/search/1829,5/14/2018 8:00:02 AM,"Metropolitan Museum of Art, New York, NY"
1766,10.125.289,False,True,1842,American Decorative Arts,Side Chair,American,Unknown,1731-1791,Unknown,American,1731,1791,1760–90,1760,1790,"Mahogany, maple, white pine",37 1/8 x 21 x 20 3/4 in. (94.3 x 53.3 x 52.7 cm),"Gift of Mrs. Russell Sage, 1909",Probably made in,United States,Furniture,http://www.metmuseum.org/art/collection/search/1842,5/14/2018 8:00:02 AM,"Metropolitan Museum of Art, New York, NY"
1767,10.125.290,False,True,1843,American Decorative Arts,Side Chair,American,Unknown,1731-1791,Unknown,American,1731,1791,1760–90,1760,1790,"Mahogany, maple, white pine",37 1/8 x 21 x 20 3/4 in. (94.3 x 53.3 x 52.7 cm),"Gift of Mrs. Russell Sage, 1909",Probably made in,United States,Furniture,http://www.metmuseum.org/art/collection/search/1843,5/14/2018 8:00:02 AM,"Metropolitan Museum of Art, New York, NY"
1768,10.125.291,False,True,1844,American Decorative Arts,Side Chair,American,Unknown,1731-1791,Unknown,American,1731,1791,1760–90,1760,1790,"Mahogany, maple, white pine",37 1/8 x 21 x 20 3/4 in. (94.3 x 53.3 x 52.7 cm),"Gift of Mrs. Russell Sage, 1909",Probably made in,United States,Furniture,http://www.metmuseum.org/art/collection/search/1844,5/14/2018 8:00:02 AM,"Metropolitan Museum of Art, New York, NY"
1769,10.125.292,False,True,1845,American Decorative Arts,Side Chair,American,Unknown,1731-1791,Unknown,American,1731,1791,1760–90,1760,1790,"Mahogany, maple, white pine",37 1/8 x 21 x 20 3/4 in. (94.3 x 53.3 x 52.7 cm),"Gift of Mrs. Russell Sage, 1909",Probably made in,United States,Furniture,http://www.metmuseum.org/art/collection/search/1845,5/14/2018 8:00:02 AM,"Metropolitan Museum of Art, New York, NY"
1770,10.125.293,False,True,1846,American Decorative Arts,Side Chair,American,Unknown,1731-1791,Unknown,American,1731,1791,1760–90,1760,1790,"Mahogany, maple, white pine",37 1/4 x 21 x 20 3/4 in. (94.6 x 53.3 x 52.7 cm),"Gift of Mrs. Russell Sage, 1909",Probably made in,United States,Furniture,http://www.metmuseum.org/art/collection/search/1846,5/14/2018 8:00:02 AM,"Metropolitan Museum of Art, New York, NY"
1771,10.125.294,False,True,1847,American Decorative Arts,Side Chair,American,Unknown,1731-1791,Unknown,American,1731,1791,1760–90,1760,1790,"Mahogany, maple, white pine",37 1/8 x 21 x 20 3/4 in. (94.3 x 53.3 x 52.7 cm),"Gift of Mrs. Russell Sage, 1909",Probably made in,United States,Furniture,http://www.metmuseum.org/art/collection/search/1847,5/14/2018 8:00:02 AM,"Metropolitan Museum of Art, New York, NY"
1772,39.184.3,False,True,1854,American Decorative Arts,Side Chair,American,Unknown,1731-1791,Unknown,American,1731,1791,1760–90,1760,1790,"Walnut, white oak, white pine",38 1/2 x 24 1/2 x 21 3/4 in. (97.8 x 62.2 x 55.2 cm),"Gift of James DeLancey Verplanck and John Bayard Rodgers Verplanck,  1939",Probably made in,United States,Furniture,http://www.metmuseum.org/art/collection/search/1854,5/14/2018 8:00:02 AM,"Metropolitan Museum of Art, New York, NY"
1773,39.184.4,False,True,1855,American Decorative Arts,Side Chair,American,Unknown,1731-1791,Unknown,American,1731,1791,1760–90,1760,1790,"Walnut, white oak, white pine",38 1/2 x 24 1/2 x 21 3/4 in. (97.8 x 62.2 x 55.2 cm),"Gift of James DeLancey Verplanck and John Bayard Rodgers Verplanck,  1939",Probably made in,United States,Furniture,http://www.metmuseum.org/art/collection/search/1855,5/14/2018 8:00:02 AM,"Metropolitan Museum of Art, New York, NY"
1774,39.184.5,False,True,1856,American Decorative Arts,Side Chair,American,Unknown,1731-1791,Unknown,American,1731,1791,1760–90,1760,1790,"Walnut, white oak, white pine",38 1/2 x 24 1/2 x 21 3/4 in. (97.8 x 62.2 x 55.2 cm),"Gift of James DeLancey Verplanck and John Bayard Rodgers Verplanck,  1939",Probably made in,United States,Furniture,http://www.metmuseum.org/art/collection/search/1856,5/14/2018 8:00:02 AM,"Metropolitan Museum of Art, New York, NY"
1775,39.184.6,False,True,1857,American Decorative Arts,Side Chair,American,Unknown,1731-1791,Unknown,American,1731,1791,1760–90,1760,1790,"Walnut, white oak, white pine",38 1/2 x 24 1/2 x 21 3/4 in. (97.8 x 62.2 x 55.2 cm),"Gift of James DeLancey Verplanck and John Bayard Rodgers Verplanck,  1939",Probably made in,United States,Furniture,http://www.metmuseum.org/art/collection/search/1857,5/14/2018 8:00:02 AM,"Metropolitan Museum of Art, New York, NY"
1776,39.184.7,False,True,1858,American Decorative Arts,Side Chair,American,Unknown,1731-1791,Unknown,American,1731,1791,1760–90,1760,1790,"Walnut, white oak, white pine",38 1/2 x 24 1/2 x 21 3/4 in. (97.8 x 62.2 x 55.2 cm),"Gift of James DeLancey Verplanck and John Bayard Rodgers Verplanck,  1939",Probably made in,United States,Furniture,http://www.metmuseum.org/art/collection/search/1858,5/14/2018 8:00:02 AM,"Metropolitan Museum of Art, New York, NY"
1777,39.184.8,False,True,1859,American Decorative Arts,Side Chair,American,Unknown,1731-1791,Unknown,American,1731,1791,1760–90,1760,1790,"Walnut, white oak, white pine",38 1/2 x 24 1/2 x 21 3/4 in. (97.8 x 62.2 x 55.2 cm),"Gift of James DeLancey Verplanck and John Bayard Rodgers Verplanck,  1939",Probably made in,United States,Furniture,http://www.metmuseum.org/art/collection/search/1859,5/14/2018 8:00:02 AM,"Metropolitan Museum of Art, New York, NY"
1778,46.67.99,False,True,1860,American Decorative Arts,Side Chair,American,Unknown,1766-1826,Unknown,American,1766,1826,1795–1810,1795,1810,"Mahogany, ash, cherry",37 x 21 x 18 in. (94 x 53.3 x 45.7 cm),"Gift of the Members of the Committee of the Bertha King Benkard Memorial Fund, 1946",Made in,United States,Furniture,http://www.metmuseum.org/art/collection/search/1860,5/14/2018 8:00:02 AM,"Metropolitan Museum of Art, New York, NY"
1779,46.67.100,False,True,1861,American Decorative Arts,Side Chair,American,Unknown,1766-1826,Unknown,American,1766,1826,1795–1810,1795,1810,"Mahogany, ash, cherry",37 x 21 x 18 in. (94 x 53.3 x 45.7 cm),"Gift of the Members of the Committee of the Bertha King Benkard Memorial Fund, 1946",Made in,United States,Furniture,http://www.metmuseum.org/art/collection/search/1861,5/14/2018 8:00:02 AM,"Metropolitan Museum of Art, New York, NY"
1780,46.67.101,False,True,1862,American Decorative Arts,Side Chair,American,Unknown,1766-1826,Unknown,American,1766,1826,1795–1810,1795,1810,"Mahogany, ash, cherry",37 x 21 x 18 in. (94 x 53.3 x 45.7 cm),"Gift of the Members of the Committee of the Bertha King Benkard Memorial Fund, 1946",Made in,United States,Furniture,http://www.metmuseum.org/art/collection/search/1862,5/14/2018 8:00:02 AM,"Metropolitan Museum of Art, New York, NY"
1781,46.67.102,False,True,1863,American Decorative Arts,Side Chair,American,Unknown,1766-1826,Unknown,American,1766,1826,1795–1810,1795,1810,"Mahogany, ash, cherry",37 x 21 x 18 in. (94 x 53.3 x 45.7 cm),"Gift of the Members of the Committee of the Bertha King Benkard Memorial Fund, 1946",Made in,United States,Furniture,http://www.metmuseum.org/art/collection/search/1863,5/14/2018 8:00:02 AM,"Metropolitan Museum of Art, New York, NY"
1782,46.67.103,False,True,1864,American Decorative Arts,Side Chair,American,Unknown,1766-1826,Unknown,American,1766,1826,1795–1810,1795,1810,Mahogany,37 x 21 x 18 in. (94 x 53.3 x 45.7 cm),"Gift of the Members of the Committee of the Bertha King Benkard Memorial Fund, 1946",Made in,United States,Furniture,http://www.metmuseum.org/art/collection/search/1864,5/14/2018 8:00:02 AM,"Metropolitan Museum of Art, New York, NY"
1783,46.67.104,False,True,1865,American Decorative Arts,Side Chair,American,Unknown,1766-1826,Unknown,American,1766,1826,1795–1810,1795,1810,Mahogany,37 x 21 x 18 in. (94 x 53.3 x 45.7 cm),"Gift of the Members of the Committee of the Bertha King Benkard Memorial Fund, 1946",Made in,United States,Furniture,http://www.metmuseum.org/art/collection/search/1865,5/14/2018 8:00:02 AM,"Metropolitan Museum of Art, New York, NY"
1784,66.10.5,False,True,1866,American Decorative Arts,Side Chair,"American, Shaker",Unknown,1811-1871,Unknown,American,1811,1871,1840–60,1840,1860,Maple,26 x 17 1/4 x 12 1/4 in. (66 x 43.8 x 31.1 cm),"Friends of the American Wing Fund, 1966",Possibly made in|Possibly made in,United States|United States,Furniture,http://www.metmuseum.org/art/collection/search/1866,5/14/2018 8:00:02 AM,"Metropolitan Museum of Art, New York, NY"
1785,66.10.6,False,False,1867,American Decorative Arts,Side Chair,"American, Shaker",Unknown,1811-1871,Unknown,American,1811,1871,1840–60,1840,1860,Maple,26 x 17 1/4 x 12 1/4 in. (66 x 43.8 x 31.1 cm),"Friends of the American Wing Fund, 1966",Possibly made in|Possibly made in,United States|United States,Furniture,http://www.metmuseum.org/art/collection/search/1867,5/14/2018 8:00:02 AM,"Metropolitan Museum of Art, New York, NY"
1786,66.10.7,False,False,1868,American Decorative Arts,Side Chair,"American, Shaker",Unknown,1811-1871,Unknown,American,1811,1871,1840–60,1840,1860,Maple,26 x 17 1/4 x 12 1/4 in. (66 x 43.8 x 31.1 cm),"Friends of the American Wing Fund, 1966",Possibly made in|Possibly made in,United States|United States,Furniture,http://www.metmuseum.org/art/collection/search/1868,5/14/2018 8:00:02 AM,"Metropolitan Museum of Art, New York, NY"
1787,66.10.8,False,False,1869,American Decorative Arts,Side Chair,"American, Shaker",Unknown,1811-1871,Unknown,American,1811,1871,1840–60,1840,1860,Maple,26 x 17 1/4 x 12 1/4 in. (66 x 43.8 x 31.1 cm),"Friends of the American Wing Fund, 1966",Possibly made in|Possibly made in,United States|United States,Furniture,http://www.metmuseum.org/art/collection/search/1869,5/14/2018 8:00:02 AM,"Metropolitan Museum of Art, New York, NY"
1788,66.10.9,False,False,1870,American Decorative Arts,Side Chair,"American, Shaker",Unknown,1811-1871,Unknown,American,1811,1871,1840–60,1840,1860,Maple,26 x 17 1/4 x 12 1/4 in. (66 x 43.8 x 31.1 cm),"Friends of the American Wing Fund, 1966",Possibly made in|Possibly made in,United States|United States,Furniture,http://www.metmuseum.org/art/collection/search/1870,5/14/2018 8:00:02 AM,"Metropolitan Museum of Art, New York, NY"
1789,66.10.10,False,False,1871,American Decorative Arts,Side Chair,"American, Shaker",Unknown,1811-1871,Unknown,American,1811,1871,1840–60,1840,1860,Maple,26 x 17 1/4 x 12 1/4 in. (66 x 43.8 x 31.1 cm),"Friends of the American Wing Fund, 1966",Possibly made in|Possibly made in,United States|United States,Furniture,http://www.metmuseum.org/art/collection/search/1871,5/14/2018 8:00:02 AM,"Metropolitan Museum of Art, New York, NY"
1790,65.188.2,False,True,1904,American Decorative Arts,Side Chair,American,Unknown,1781-1841,Unknown,American,1781,1841,1810–20,1810,1820,"Mahogany with ash, yellow poplar",32 1/4 x 21 3/4 x 18 3/8 in. (81.9 x 55.2 x 46.7 cm),"Gift of the family of Mr. and Mrs. Andrew Varick Stout, in their memory, 1965",Made in,United States,Furniture,http://www.metmuseum.org/art/collection/search/1904,5/14/2018 8:00:02 AM,"Metropolitan Museum of Art, New York, NY"
1791,65.188.3,False,False,1905,American Decorative Arts,Side Chair,American,Unknown,1781-1841,Unknown,American,1781,1841,1810–20,1810,1820,"Mahogany, ash, tulip poplar",32 1/4 x 21 3/4 x 18 3/8 in. (81.9 x 55.2 x 46.7 cm),"Gift of the family of Mr. and Mrs. Andrew Varick Stout, in their memory, 1965",Made in,United States,Furniture,http://www.metmuseum.org/art/collection/search/1905,5/14/2018 8:00:02 AM,"Metropolitan Museum of Art, New York, NY"
1792,65.188.4,False,False,1906,American Decorative Arts,Side Chair,American,Unknown,1781-1841,Unknown,American,1781,1841,1810–20,1810,1820,"Mahogany with ash, yellow poplar",32 1/4 x 21 3/4 x 18 3/8 in. (81.9 x 55.2 x 46.7 cm),"Gift of the family of Mr. and Mrs. Andrew Varick Stout, in their memory, 1965",Made in,United States,Furniture,http://www.metmuseum.org/art/collection/search/1906,5/14/2018 8:00:02 AM,"Metropolitan Museum of Art, New York, NY"
1793,65.188.5,False,False,1907,American Decorative Arts,Side Chair,American,Unknown,1781-1841,Unknown,American,1781,1841,1810–20,1810,1820,"Mahogany with ash, yellow poplar",32 1/4 x 21 3/4 x 18 3/8 in. (81.9 x 55.2 x 46.7 cm),"Gift of the family of Mr. and Mrs. Andrew Varick Stout, in their memory, 1965",Made in,United States,Furniture,http://www.metmuseum.org/art/collection/search/1907,5/14/2018 8:00:02 AM,"Metropolitan Museum of Art, New York, NY"
1794,65.188.6,False,False,1908,American Decorative Arts,Side Chair,American,Unknown,1781-1841,Unknown,American,1781,1841,1810–20,1810,1820,"Mahogany with ash, yellow poplar",32 1/4 x 21 3/4 x 18 3/8 in. (81.9 x 55.2 x 46.7 cm),"Gift of the family of Mr. and Mrs. Andrew Varick Stout, in their memory, 1965",Made in,United States,Furniture,http://www.metmuseum.org/art/collection/search/1908,5/14/2018 8:00:02 AM,"Metropolitan Museum of Art, New York, NY"
1795,65.188.7,False,False,1909,American Decorative Arts,Side Chair,American,Unknown,1781-1841,Unknown,American,1781,1841,1810–20,1810,1820,"Mahogany, ash, tulip poplar",32 1/4 x 21 3/4 x 18 3/8 in. (81.9 x 55.2 x 46.7 cm),"Gift of the family of Mr. and Mrs. Andrew Varick Stout, in their memory, 1965",Made in,United States,Furniture,http://www.metmuseum.org/art/collection/search/1909,5/14/2018 8:00:02 AM,"Metropolitan Museum of Art, New York, NY"
1796,65.188.8,False,False,1910,American Decorative Arts,Side Chair,American,Unknown,1781-1841,Unknown,American,1781,1841,1810–20,1810,1820,"Mahogany with ash, yellow poplar",32 1/4 x 21 3/4 x 18 3/8 in. (81.9 x 55.2 x 46.7 cm),"Gift of the family of Mr. and Mrs. Andrew Varick Stout, in their memory, 1965",Made in,United States,Furniture,http://www.metmuseum.org/art/collection/search/1910,5/14/2018 8:00:02 AM,"Metropolitan Museum of Art, New York, NY"
1797,65.188.9,False,False,1911,American Decorative Arts,Side Chair,American,Unknown,1781-1841,Unknown,American,1781,1841,1810–20,1810,1820,"Mahogany with ash, yellow poplar",32 1/4 x 21 3/4 x 18 3/8 in. (81.9 x 55.2 x 46.7 cm),"Gift of the family of Mr. and Mrs. Andrew Varick Stout, in their memory, 1965",Made in,United States,Furniture,http://www.metmuseum.org/art/collection/search/1911,5/14/2018 8:00:02 AM,"Metropolitan Museum of Art, New York, NY"
1798,65.188.10,False,True,1912,American Decorative Arts,Side Chair,American,Unknown,1781-1841,Unknown,American,1781,1841,1810–20,1810,1820,"Mahogany with ash, yellow poplar",32 1/4 x 21 3/4 x 18 3/8 in. (81.9 x 55.2 x 46.7 cm),"Gift of the family of Mr. and Mrs. Andrew Varick Stout, in their memory, 1965",Made in,United States,Furniture,http://www.metmuseum.org/art/collection/search/1912,5/14/2018 8:00:02 AM,"Metropolitan Museum of Art, New York, NY"
1799,65.188.11,False,False,1913,American Decorative Arts,Side Chair,American,Unknown,1781-1841,Unknown,American,1781,1841,1810–20,1810,1820,"Mahogany, ash, tulip poplar",32 1/4 x 21 3/4 x 18 3/8 in. (81.9 x 55.2 x 46.7 cm),"Gift of the family of Mr. and Mrs. Andrew Varick Stout, in their memory, 1965",Made in,United States,Furniture,http://www.metmuseum.org/art/collection/search/1913,5/14/2018 8:00:02 AM,"Metropolitan Museum of Art, New York, NY"
1800,65.188.12,False,False,1914,American Decorative Arts,Side Chair,American,Unknown,1781-1841,Unknown,American,1781,1841,1810–20,1810,1820,"Mahogany, ash, tulip poplar",32 1/4 x 21 3/4 x 18 3/8 in. (81.9 x 55.2 x 46.7 cm),"Gift of the family of Mr. and Mrs. Andrew Varick Stout, in their memory, 1965",Made in,United States,Furniture,http://www.metmuseum.org/art/collection/search/1914,5/14/2018 8:00:02 AM,"Metropolitan Museum of Art, New York, NY"
1801,65.188.13,False,False,1915,American Decorative Arts,Side Chair,American,Unknown,1781-1841,Unknown,American,1781,1841,1810–20,1810,1820,"Mahogany, ash, tulip poplar",32 1/4 x 21 3/4 x 18 3/8 in. (81.9 x 55.2 x 46.7 cm),"Gift of the family of Mr. and Mrs. Andrew Varick Stout, in their memory, 1965",Made in,United States,Furniture,http://www.metmuseum.org/art/collection/search/1915,5/14/2018 8:00:02 AM,"Metropolitan Museum of Art, New York, NY"
1802,65.188.14,False,False,1916,American Decorative Arts,Side Chair,American,Unknown,1781-1841,Unknown,American,1781,1841,1810–20,1810,1820,"Mahogany with ash, yellow poplar",32 1/4 x 21 3/4 x 18 3/8 in. (81.9 x 55.2 x 46.7 cm),"Gift of the family of Mr. and Mrs. Andrew Varick Stout, in their memory, 1965",Made in,United States,Furniture,http://www.metmuseum.org/art/collection/search/1916,5/14/2018 8:00:02 AM,"Metropolitan Museum of Art, New York, NY"
1803,31.44.4,False,True,1918,American Decorative Arts,Side Chair,American,Unknown,1766-1826,Unknown,American,1766,1826,1795–1805,1795,1805,"Mahogany, oak",37 5/8 x 21 1/4 x 17 1/2 in. (95.6 x 54 x 44.5 cm),"The Sylmaris Collection, Gift of George Coe Graves, 1931",Made in,United States,Furniture,http://www.metmuseum.org/art/collection/search/1918,5/14/2018 8:00:02 AM,"Metropolitan Museum of Art, New York, NY"
1804,1986.47.3,False,True,1920,American Decorative Arts,Side Chair,American,Unknown,1849-1909,Unknown,American,1849,1909,1878–84,1878,1884,"Bird's-eye maple, maple, tulip poplar",34 3/4 x 16 3/4 x 16 3/4 in. (88.3 x 42.5 x 42.5 cm),"Friends of the American Wing Fund, 1986",Made in,United States,Furniture,http://www.metmuseum.org/art/collection/search/1920,5/14/2018 8:00:02 AM,"Metropolitan Museum of Art, New York, NY"
1805,1986.47.4,False,True,1921,American Decorative Arts,Side Chair,American,Unknown,1849-1909,Unknown,American,1849,1909,1878–84,1878,1884,"Bird's-eye maple, maple, tulip poplar",34 3/4 x 16 3/4 x 16 3/4 in. (88.3 x 42.5 x 42.5 cm),"Friends of the American Wing Fund, 1986",Made in,United States,Furniture,http://www.metmuseum.org/art/collection/search/1921,5/14/2018 8:00:02 AM,"Metropolitan Museum of Art, New York, NY"
1806,10.125.697,False,True,1922,American Decorative Arts,Chair-table,American,Unknown,1621-1681,Unknown,American,1621,1681,1650–1700,1650,1700,"Red oak, yellow pine, white cedar","OH. top up 58 3/4 in. (149.2 cm), OH. top down: 32 in. (81.3 cm); top: Diam. 43 in. (109.2 cm); chair base: SH. 19 1/4 in. (48.9 cm), OW (seat molding) 23 in. (58.4 cm), SW. 21 1/4 in. (54 cm), OD. (arms) 20 3/4 in. (52.7 cm), SD. 16 5/8 in. (42.2 cm)","Gift of Mrs. Russell Sage, 1909",Made in|Possibly made in,United States|United States,Furniture,http://www.metmuseum.org/art/collection/search/1922,5/14/2018 8:00:02 AM,"Metropolitan Museum of Art, New York, NY"
1807,49.155.2,False,True,1929,American Decorative Arts,Chamber Table,American,Unknown,1621-1681,Unknown,American,1621,1681,1650–1700,1650,1700,"Oak, pine, maple",34 1/4 x 28 x 15 3/4 in. (87 x 71.1 x 40 cm),"Gift of Mrs. J. Insley Blair, 1949",Possibly made in,United States,Furniture,http://www.metmuseum.org/art/collection/search/1929,5/14/2018 8:00:02 AM,"Metropolitan Museum of Art, New York, NY"
1808,52.77.48,False,True,1930,American Decorative Arts,Desk-on-frame,American,Unknown,1641-1701,Unknown,American,1641,1701,1670–1700,1670,1700,"Cherry, maple",30 x 25 3/4 x 16 3/4 in. (76.2 x 65.4 x 42.5 cm),"Bequest of Mrs. J. Insley Blair, 1951",Made in,United States,Furniture,http://www.metmuseum.org/art/collection/search/1930,5/14/2018 8:00:02 AM,"Metropolitan Museum of Art, New York, NY"
1809,63.200.24,False,False,1931,American Decorative Arts,Filigree Champagne Glass,"British, possibly",Unknown,1841-1901,Unknown,British,1841,1901,1870–1900,1870,1900,Blown glass,H. 4 1/16 in. (10.3 cm); Diam. 3 5/8 in. (9.2 cm),"Gift of Mrs. Darwin S. Morse, 1963",Possibly made in,England,Glass,http://www.metmuseum.org/art/collection/search/1931,5/14/2018 8:00:02 AM,"Metropolitan Museum of Art, New York, NY"
1810,63.200.25,False,False,1932,American Decorative Arts,Filigree Champagne Glass,"British, possibly",Unknown,1841-1901,Unknown,British,1841,1901,1870–1900,1870,1900,Blown glass,H. 4 in. (10.2 cm); Diam. 3 3/4 in. (9.5 cm),"Gift of Mrs. Darwin S. Morse, 1963",Possibly made in,England,Glass,http://www.metmuseum.org/art/collection/search/1932,5/14/2018 8:00:02 AM,"Metropolitan Museum of Art, New York, NY"
1811,63.200.26,False,False,1933,American Decorative Arts,Filigree Champagne Glass,"British, possibly",Unknown,1841-1901,Unknown,British,1841,1901,1870–1900,1870,1900,Blown glass,H. 4 1/8 in. (10.5 cm); Diam. 3 13/16 in. (9.7 cm),"Gift of Mrs. Darwin S. Morse, 1963",Possibly made in,England,Glass,http://www.metmuseum.org/art/collection/search/1933,5/14/2018 8:00:02 AM,"Metropolitan Museum of Art, New York, NY"
1812,63.200.27,False,False,1934,American Decorative Arts,Filigree Champagne Glass,"British, possibly",Unknown,1841-1901,Unknown,British,1841,1901,1870–1900,1870,1900,Blown glass,H. 4 1/8 in. (10.5 cm); Diam. 3 7/8 in. (9.8 cm),"Gift of Mrs. Darwin S. Morse, 1963",Possibly made in,England,Glass,http://www.metmuseum.org/art/collection/search/1934,5/14/2018 8:00:02 AM,"Metropolitan Museum of Art, New York, NY"
1813,63.200.28,False,False,1935,American Decorative Arts,Filigree Champagne Glass,"British, possibly",Unknown,1841-1901,Unknown,British,1841,1901,1870–1900,1870,1900,Blown glass,H. 5 7/8 in. (14.9 cm); Diam. 3 in. (7.6 cm),"Gift of Mrs. Darwin S. Morse, 1963",Possibly made in,England,Glass,http://www.metmuseum.org/art/collection/search/1935,5/14/2018 8:00:02 AM,"Metropolitan Museum of Art, New York, NY"
1814,69.205.10,False,False,1937,American Decorative Arts,Champagne Glass,American,Unknown,1801-1861,Unknown,American,1801,1861,1830–40,1830,1840,Blown lead glass,H. 6 3/4 in. (17.1 cm); Diam. 2 1/2 in. (6.4 cm),"Gift of Mr. and Mrs. William Katzenbach, 1969",Made in,United States,Glass,http://www.metmuseum.org/art/collection/search/1937,5/14/2018 8:00:02 AM,"Metropolitan Museum of Art, New York, NY"
1815,69.205.11,False,False,1938,American Decorative Arts,Champagne Glass,American,Unknown,1801-1861,Unknown,American,1801,1861,1830–40,1830,1840,Blown lead glass,H. 6 13/16 in. (17.3 cm); Diam. 2 9/16 in. (6.5 cm),"Gift of Mr. and Mrs. William Katzenbach, 1969",Made in,United States,Glass,http://www.metmuseum.org/art/collection/search/1938,5/14/2018 8:00:02 AM,"Metropolitan Museum of Art, New York, NY"
1816,69.205.4,False,True,1943,American Decorative Arts,Champagne Glass,American,Unknown,1801-1861,Unknown,American,1801,1861,1830–40,1830,1840,Blown lead glass,H. 6 3/4 in. (17.1 cm); Diam. 2 5/8 in. (6.7 cm),"Gift of Mr. and Mrs. William Katzenbach, 1969",Made in,United States,Glass,http://www.metmuseum.org/art/collection/search/1943,5/14/2018 8:00:02 AM,"Metropolitan Museum of Art, New York, NY"
1817,69.205.5,False,False,1944,American Decorative Arts,Champagne Glass,American,Unknown,1801-1861,Unknown,American,1801,1861,1830–40,1830,1840,Blown lead glass,H. 6 3/4 in. (17.1 cm); Diam. 2 5/8 in. (6.7 cm),"Gift of Mr. and Mrs. William Katzenbach, 1969",Made in,United States,Glass,http://www.metmuseum.org/art/collection/search/1944,5/14/2018 8:00:02 AM,"Metropolitan Museum of Art, New York, NY"
1818,69.205.6,False,False,1945,American Decorative Arts,Champagne Glass,American,Unknown,1801-1861,Unknown,American,1801,1861,1830–40,1830,1840,Blown lead glass,H. 6 3/4 in. (17.1 cm); Diam. 2 5/8 in. (6.7 cm),"Gift of Mr. and Mrs. William Katzenbach, 1969",Made in,United States,Glass,http://www.metmuseum.org/art/collection/search/1945,5/14/2018 8:00:02 AM,"Metropolitan Museum of Art, New York, NY"
1819,69.205.7,False,True,1946,American Decorative Arts,Champagne Glass,American,Unknown,1801-1861,Unknown,American,1801,1861,1830–40,1830,1840,Blown lead glass,H. 6 5/8 in. (16.8 cm); Diam. 2 9/16 in. (6.5 cm),"Gift of Mr. and Mrs. William Katzenbach, 1969",Made in,United States,Glass,http://www.metmuseum.org/art/collection/search/1946,5/14/2018 8:00:02 AM,"Metropolitan Museum of Art, New York, NY"
1820,69.205.8,False,False,1947,American Decorative Arts,Champagne Glass,American,Unknown,1801-1861,Unknown,American,1801,1861,1830–40,1830,1840,Blown lead glass,H. 6 7/8 in. (17.5 cm); Diam. 2 3/16 in. (5.6 cm),"Gift of Mr. and Mrs. William Katzenbach, 1969",Made in,United States,Glass,http://www.metmuseum.org/art/collection/search/1947,5/14/2018 8:00:02 AM,"Metropolitan Museum of Art, New York, NY"
1821,69.205.9,False,False,1948,American Decorative Arts,Champagne Glass,American,Unknown,1801-1861,Unknown,American,1801,1861,1830–40,1830,1840,Blown lead glass,H. 6 13/16 in. (17.3 cm); Diam. 2 9/16 in. (6.5 cm),"Gift of Mr. and Mrs. William Katzenbach, 1969",Made in,United States,Glass,http://www.metmuseum.org/art/collection/search/1948,5/14/2018 8:00:02 AM,"Metropolitan Museum of Art, New York, NY"
